month,YEAR,PDO,TIME
9,2004,0.75,2004-09-01
9,2005,-0.46,2005-09-01
9,2006,-0.94,2006-09-01
9,2007,-0.36,2007-09-01
9,2008,-1.55,2008-09-01
9,2009,0.52,2009-09-01
9,2010,-1.61,2010-09-01
10,1951,-0.32,1951-10-01
10,1952,-0.35,1952-10-01
10,1953,-1.09,1953-10-01
10,1954,0.52,1954-10-01
10,1955,-2.8,1955-10-01
10,1956,-2.3,1956-10-01
10,1957,1.5,1957-10-01
10,1958,0.01,1958-10-01
10,1959,0.52,1959-10-01
10,1960,0.09,1960-10-01
10,1961,-2.28,1961-10-01
10,1962,-1.55,1962-10-01
10,1963,-0.52,1963-10-01
10,1964,-0.37,1964-10-01
10,1965,-0.36,1965-10-01
10,1966,-1.17,1966-10-01
10,1967,-0.64,1967-10-01
10,1968,-0.34,1968-10-01
10,1969,1.12,1969-10-01
10,1970,-1.39,1970-10-01
10,1971,-0.22,1971-10-01
10,1972,0.11,1972-10-01
10,1973,-0.87,1973-10-01
10,1974,-0.1,1974-10-01
10,1975,-1.29,1975-10-01
10,1976,1.11,1976-10-01
10,1977,-0.61,1977-10-01
10,1978,0.1,1978-10-01
10,1979,1.06,1979-10-01
10,1980,1.35,1980-10-01
10,1981,0.18,1981-10-01
10,1982,0.37,1982-10-01
10,1983,0.96,1983-10-01
10,1984,0.58,1984-10-01
10,1985,0.29,1985-10-01
10,1986,1.0,1986-10-01
10,1987,1.36,1987-10-01
10,1988,-0.1,1988-10-01
10,1989,-0.12,1989-10-01
10,1990,-0.69,1990-10-01
10,1991,0.49,1991-10-01
10,1992,0.93,1992-10-01
10,1993,1.41,1993-10-01
10,1994,-1.32,1994-10-01
10,1995,0.47,1995-10-01
10,1996,-0.33,1996-10-01
10,1997,1.61,1997-10-01
10,1998,-1.39,1998-10-01
10,1999,-2.23,1999-10-01
10,2000,-1.3,2000-10-01
10,2001,-1.37,2001-10-01
10,2002,0.42,2002-10-01
10,2003,0.83,2003-10-01
10,2004,-0.11,2004-10-01
10,2005,-1.32,2005-10-01
10,2006,-0.05,2006-10-01
10,2007,-1.45,2007-10-01
10,2008,-1.76,2008-10-01
10,2009,0.27,2009-10-01
10,2010,-1.06,2010-10-01
11,1951,-0.28,1951-11-01
11,1952,-0.76,1952-11-01
11,1953,-0.03,1953-11-01
11,1954,0.72,1954-11-01
11,1955,-3.08,1955-11-01
11,1956,-2.11,1956-11-01
11,1957,-0.32,1957-11-01
11,1958,-0.18,1958-11-01
11,1959,1.11,1959-11-01
11,1960,-0.23,1960-11-01
11,1961,-1.85,1961-11-01
11,1962,-0.37,1962-11-01
11,1963,-2.08,1963-11-01
11,1964,-0.8,1964-11-01
11,1965,-0.59,1965-11-01
11,1966,-1.15,1966-11-01
11,1967,-0.05,1967-11-01
11,1968,-0.44,1968-11-01
11,1969,0.15,1969-11-01
11,1970,-0.8,1970-11-01
11,1971,-1.25,1971-11-01
11,1972,0.57,1972-11-01
11,1973,-1.81,1973-11-01
11,1974,0.43,1974-11-01
11,1975,-2.08,1975-11-01
11,1976,1.25,1976-11-01
11,1977,-0.72,1977-11-01
11,1978,-0.07,1978-11-01
11,1979,0.48,1979-11-01
11,1980,0.37,1980-11-01
11,1981,0.8,1981-11-01
11,1982,-0.25,1982-11-01
11,1983,1.02,1983-11-01
11,1984,0.71,1984-11-01
11,1985,-0.75,1985-11-01
11,1986,1.77,1986-11-01
11,1987,1.47,1987-11-01
11,1988,-0.02,1988-11-01
11,1989,-0.5,1989-11-01
11,1990,-1.69,1990-11-01
11,1991,0.42,1991-11-01
11,1992,0.93,1992-11-01
11,1993,1.24,1993-11-01
11,1994,-1.96,1994-11-01
11,1995,-0.28,1995-11-01
11,1996,0.09,1996-11-01
11,1997,1.12,1997-11-01
11,1998,-0.52,1998-11-01
11,1999,-2.05,1999-11-01
11,2000,-0.53,2000-11-01
11,2001,-1.26,2001-11-01
11,2002,1.51,2002-11-01
11,2003,0.52,2003-11-01
11,2004,-0.63,2004-11-01
11,2005,-1.5,2005-11-01
11,2006,-0.22,2006-11-01
11,2007,-1.08,2007-11-01
11,2008,-1.25,2008-11-01
11,2009,-0.4,2009-11-01
11,2010,-0.82,2010-11-01
12,1951,-1.68,1951-12-01
12,1952,0.04,1952-12-01
12,1953,0.07,1953-12-01
12,1954,-0.5,1954-12-01
12,1955,-2.75,1955-12-01
12,1956,-1.28,1956-12-01
12,1957,-0.55,1957-12-01
12,1958,0.86,1958-12-01
12,1959,0.06,1959-12-01
12,1960,0.17,1960-12-01
12,1961,-2.69,1961-12-01
12,1962,-0.96,1962-12-01
12,1963,-1.08,1963-12-01
12,1964,-1.52,1964-12-01
12,1965,0.06,1965-12-01
12,1966,-0.32,1966-12-01
12,1967,-0.4,1967-12-01
12,1968,-1.27,1968-12-01
12,1969,1.38,1969-12-01
12,1970,-0.97,1970-12-01
12,1971,-1.87,1971-12-01
12,1972,-0.33,1972-12-01
12,1973,-0.76,1973-12-01
12,1974,-0.12,1974-12-01
12,1975,-1.61,1975-12-01
12,1976,1.22,1976-12-01
12,1977,-0.69,1977-12-01
12,1978,-0.43,1978-12-01
12,1979,-0.42,1979-12-01
12,1980,-0.1,1980-12-01
12,1981,0.67,1981-12-01
12,1982,0.26,1982-12-01
12,1983,1.69,1983-12-01
12,1984,0.82,1984-12-01
12,1985,0.38,1985-12-01
12,1986,1.77,1986-12-01
12,1987,1.27,1987-12-01
12,1988,-0.43,1988-12-01
12,1989,-0.21,1989-12-01
12,1990,-2.23,1990-12-01
12,1991,0.09,1991-12-01
12,1992,0.53,1992-12-01
12,1993,1.07,1993-12-01
12,1994,-1.79,1994-12-01
12,1995,0.16,1995-12-01
12,1996,-0.03,1996-12-01
12,1997,0.67,1997-12-01
12,1998,-0.44,1998-12-01
12,1999,-1.63,1999-12-01
12,2000,0.52,2000-12-01
12,2001,-0.93,2001-12-01
12,2002,2.1,2002-12-01
12,2003,0.33,2003-12-01
12,2004,-0.17,2004-12-01
12,2005,0.2,2005-12-01
12,2006,0.14,2006-12-01
12,2007,-0.58,2007-12-01
12,2008,-0.87,2008-12-01
12,2009,0.08,2009-12-01
12,2010,-1.21,2010-12-01
